model,split,layer,mean_norm
EleutherAI/deep-ignorance-unfiltered,forget,0,1.5629777291463278
EleutherAI/deep-ignorance-unfiltered,forget,1,39.56772224062524
EleutherAI/deep-ignorance-unfiltered,forget,2,53.79755107602775
EleutherAI/deep-ignorance-unfiltered,forget,3,60.289053121382004
EleutherAI/deep-ignorance-unfiltered,forget,4,65.22444345130769
EleutherAI/deep-ignorance-unfiltered,forget,5,76.65470931177403
EleutherAI/deep-ignorance-unfiltered,forget,6,100.68039026616592
EleutherAI/deep-ignorance-unfiltered,forget,7,192.39330795200047
EleutherAI/deep-ignorance-unfiltered,forget,8,246.27614299033937
EleutherAI/deep-ignorance-unfiltered,forget,9,268.04015709222216
EleutherAI/deep-ignorance-unfiltered,forget,10,282.8665000806635
EleutherAI/deep-ignorance-unfiltered,forget,11,298.6416006728287
EleutherAI/deep-ignorance-unfiltered,forget,12,308.72136207485573
EleutherAI/deep-ignorance-unfiltered,forget,13,318.78732734446174
EleutherAI/deep-ignorance-unfiltered,forget,14,327.5593289150281
EleutherAI/deep-ignorance-unfiltered,forget,15,335.1566785249962
EleutherAI/deep-ignorance-unfiltered,forget,16,344.1005853443858
EleutherAI/deep-ignorance-unfiltered,forget,17,348.174448522434
EleutherAI/deep-ignorance-unfiltered,forget,18,352.93407595182964
EleutherAI/deep-ignorance-unfiltered,forget,19,357.1211925035112
EleutherAI/deep-ignorance-unfiltered,forget,20,361.7323601911251
EleutherAI/deep-ignorance-unfiltered,forget,21,366.1276788002012
EleutherAI/deep-ignorance-unfiltered,forget,22,372.768322779855
EleutherAI/deep-ignorance-unfiltered,forget,23,382.04522050799045
EleutherAI/deep-ignorance-unfiltered,forget,24,391.8424157896485
EleutherAI/deep-ignorance-unfiltered,forget,25,405.3355789624772
EleutherAI/deep-ignorance-unfiltered,forget,26,426.040992790104
EleutherAI/deep-ignorance-unfiltered,forget,27,450.10605029845505
EleutherAI/deep-ignorance-unfiltered,forget,28,473.01728186446627
EleutherAI/deep-ignorance-unfiltered,forget,29,500.214076260249
EleutherAI/deep-ignorance-unfiltered,forget,30,520.4444032559596
EleutherAI/deep-ignorance-unfiltered,forget,31,551.2370066476237
EleutherAI/deep-ignorance-unfiltered,forget,32,57.88674325302963
EleutherAI/deep-ignorance-unfiltered,forget,ALL_MEAN,292.04083898688395
EleutherAI/deep-ignorance-unfiltered,retain,0,1.5920503637110226
EleutherAI/deep-ignorance-unfiltered,retain,1,38.280483412621415
EleutherAI/deep-ignorance-unfiltered,retain,2,49.22118882655059
EleutherAI/deep-ignorance-unfiltered,retain,3,53.52420136584003
EleutherAI/deep-ignorance-unfiltered,retain,4,55.77423491966231
EleutherAI/deep-ignorance-unfiltered,retain,5,60.4605072486894
EleutherAI/deep-ignorance-unfiltered,retain,6,68.69200254175745
EleutherAI/deep-ignorance-unfiltered,retain,7,94.27145345406682
EleutherAI/deep-ignorance-unfiltered,retain,8,110.29912868214416
EleutherAI/deep-ignorance-unfiltered,retain,9,118.73910051289035
EleutherAI/deep-ignorance-unfiltered,retain,10,126.18553169821169
EleutherAI/deep-ignorance-unfiltered,retain,11,133.44439550994008
EleutherAI/deep-ignorance-unfiltered,retain,12,140.63473335659495
EleutherAI/deep-ignorance-unfiltered,retain,13,148.3644209984341
EleutherAI/deep-ignorance-unfiltered,retain,14,155.4297326048475
EleutherAI/deep-ignorance-unfiltered,retain,15,162.16407441448803
EleutherAI/deep-ignorance-unfiltered,retain,16,169.61041865241467
EleutherAI/deep-ignorance-unfiltered,retain,17,172.5209562369508
EleutherAI/deep-ignorance-unfiltered,retain,18,175.65845517315722
EleutherAI/deep-ignorance-unfiltered,retain,19,179.7448493951979
EleutherAI/deep-ignorance-unfiltered,retain,20,183.5994272535403
EleutherAI/deep-ignorance-unfiltered,retain,21,186.85935414964598
EleutherAI/deep-ignorance-unfiltered,retain,22,191.1307325708061
EleutherAI/deep-ignorance-unfiltered,retain,23,199.14035429999547
EleutherAI/deep-ignorance-unfiltered,retain,24,207.60396965209694
EleutherAI/deep-ignorance-unfiltered,retain,25,219.36259240820172
EleutherAI/deep-ignorance-unfiltered,retain,26,237.19788248343318
EleutherAI/deep-ignorance-unfiltered,retain,27,258.65450126520517
EleutherAI/deep-ignorance-unfiltered,retain,28,280.7209942498411
EleutherAI/deep-ignorance-unfiltered,retain,29,307.8968725887346
EleutherAI/deep-ignorance-unfiltered,retain,30,329.8499161021469
EleutherAI/deep-ignorance-unfiltered,retain,31,360.0897319807553
EleutherAI/deep-ignorance-unfiltered,retain,32,64.38549373851103
EleutherAI/deep-ignorance-unfiltered,retain,ALL_MEAN,158.82132551851774
EleutherAI/deep-ignorance-e2e-strong-filter,forget,0,1.5262142822006137
