name,layer,group,shape0,shape1,dW_fro,dW_stable_rank,W_stable_rank
embed_out.weight,-1,other,50304,4096,538.3099975585938,5.051737525096969,34.05135984119688
gpt_neox.embed_in.weight,-1,other,50304,4096,407.9378967285156,137.48649809287977,46.78305238486112
gpt_neox.layers.0.attention.dense.weight,0,attn,4096,4096,106.8067855834961,138.832194497751,73.5586580259632
gpt_neox.layers.0.attention.query_key_value.weight,0,attn,12288,4096,211.84515380859375,57.86504495121997,48.17560676870855
gpt_neox.layers.0.mlp.dense_4h_to_h.weight,0,mlp,4096,16384,206.838623046875,280.14593805799825,187.52320031629418
gpt_neox.layers.0.mlp.dense_h_to_4h.weight,0,mlp,16384,4096,287.71356201171875,105.98648992246895,23.448580001604327
gpt_neox.layers.1.attention.dense.weight,1,attn,4096,4096,95.08763122558594,220.99142481875114,183.57019477129097
gpt_neox.layers.1.attention.query_key_value.weight,1,attn,12288,4096,232.75389099121094,99.83720537375294,51.1015371467611
gpt_neox.layers.1.mlp.dense_4h_to_h.weight,1,mlp,4096,16384,210.48193359375,14.607018919423375,8.883477119248294
gpt_neox.layers.1.mlp.dense_h_to_4h.weight,1,mlp,16384,4096,237.0211639404297,15.048188944717465,11.437203501618713
gpt_neox.layers.10.attention.dense.weight,10,attn,4096,4096,131.42787170410156,449.80940823773415,239.64739695793386
gpt_neox.layers.10.attention.query_key_value.weight,10,attn,12288,4096,258.7901916503906,155.01970325092424,89.52139212913237
gpt_neox.layers.10.mlp.dense_4h_to_h.weight,10,mlp,4096,16384,265.7326965332031,324.45757891966,198.97072175427326
gpt_neox.layers.10.mlp.dense_h_to_4h.weight,10,mlp,16384,4096,324.3467102050781,170.64782186230983,46.7153244994188
gpt_neox.layers.11.attention.dense.weight,11,attn,4096,4096,133.68678283691406,533.2874218036415,235.49047064311813
gpt_neox.layers.11.attention.query_key_value.weight,11,attn,12288,4096,260.6677551269531,145.7759815170337,92.26881650415775
