name,layer,group,shape0,shape1,dW_fro,dW_stable_rank,W_stable_rank
embed_out.weight,-1,other,50304,4096,0.0,0.0,34.052151113886936
gpt_neox.embed_in.weight,-1,other,50304,4096,0.0,0.0,46.783507267238186
gpt_neox.layers.0.attention.dense.weight,0,attn,4096,4096,0.0,0.0,73.56425280794706
gpt_neox.layers.0.attention.query_key_value.weight,0,attn,12288,4096,16.01557159423828,1.9736632234758062,48.479772733611924
gpt_neox.layers.0.mlp.dense_4h_to_h.weight,0,mlp,4096,16384,0.0,0.0,182.4207140047019
gpt_neox.layers.0.mlp.dense_h_to_4h.weight,0,mlp,16384,4096,0.0,0.0,23.448593980659066
gpt_neox.layers.1.attention.dense.weight,1,attn,4096,4096,0.0,0.0,212.29193042721263
gpt_neox.layers.1.attention.query_key_value.weight,1,attn,12288,4096,15.766653060913086,1.365615716913544,51.22548706929812
gpt_neox.layers.1.mlp.dense_4h_to_h.weight,1,mlp,4096,16384,0.0,0.0,8.883489432812052
gpt_neox.layers.1.mlp.dense_h_to_4h.weight,1,mlp,16384,4096,0.0,0.0,11.437200348059852
gpt_neox.layers.10.attention.dense.weight,10,attn,4096,4096,0.0,0.0,292.75812262038085
gpt_neox.layers.10.attention.query_key_value.weight,10,attn,12288,4096,24.00333023071289,1.060376963888975,89.52166134142895
gpt_neox.layers.10.mlp.dense_4h_to_h.weight,10,mlp,4096,16384,0.0,0.0,199.73268659796935
gpt_neox.layers.10.mlp.dense_h_to_4h.weight,10,mlp,16384,4096,0.0,0.0,46.639710269264356
gpt_neox.layers.11.attention.dense.weight,11,attn,4096,4096,0.0,0.0,230.6798036186497
gpt_neox.layers.11.attention.query_key_value.weight,11,attn,12288,4096,22.119356155395508,1.0587758800430978,92.26901290045826
gpt_neox.layers.11.mlp.dense_4h_to_h.weight,11,mlp,4096,16384,0.0,0.0,397.5481460835288
gpt_neox.layers.11.mlp.dense_h_to_4h.weight,11,mlp,16384,4096,0.0,0.0,47.00064925302601
gpt_neox.layers.12.attention.dense.weight,12,attn,4096,4096,0.0,0.0,337.09413156316106
gpt_neox.layers.12.attention.query_key_value.weight,12,attn,12288,4096,19.63727378845215,1.1046672259392893,96.2943217559977
gpt_neox.layers.12.mlp.dense_4h_to_h.weight,12,mlp,4096,16384,0.0,0.0,526.5926914213464
gpt_neox.layers.12.mlp.dense_h_to_4h.weight,12,mlp,16384,4096,0.0,0.0,47.52728687112444
gpt_neox.layers.13.attention.dense.weight,13,attn,4096,4096,0.0,0.0,203.2327730359068
gpt_neox.layers.13.attention.query_key_value.weight,13,attn,12288,4096,19.21990203857422,1.1080990037289187,103.02938724455547
gpt_neox.layers.13.mlp.dense_4h_to_h.weight,13,mlp,4096,16384,0.0,0.0,417.6264711263144
gpt_neox.layers.13.mlp.dense_h_to_4h.weight,13,mlp,16384,4096,0.0,0.0,50.219811925033255
gpt_neox.layers.14.attention.dense.weight,14,attn,4096,4096,0.0,0.0,222.8632810266634
gpt_neox.layers.14.attention.query_key_value.weight,14,attn,12288,4096,22.544410705566406,1.0315418421691378,99.1326012501319
gpt_neox.layers.14.mlp.dense_4h_to_h.weight,14,mlp,4096,16384,0.0,0.0,463.2279656645593
gpt_neox.layers.14.mlp.dense_h_to_4h.weight,14,mlp,16384,4096,0.0,0.0,51.368602030762915
gpt_neox.layers.15.attention.dense.weight,15,attn,4096,4096,0.0,0.0,254.40095710478232
gpt_neox.layers.15.attention.query_key_value.weight,15,attn,12288,4096,20.052623748779297,1.1026581479010027,93.14802838903931
gpt_neox.layers.15.mlp.dense_4h_to_h.weight,15,mlp,4096,16384,0.0,0.0,472.89671224124845
gpt_neox.layers.15.mlp.dense_h_to_4h.weight,15,mlp,16384,4096,0.0,0.0,50.880099163097945
gpt_neox.layers.16.attention.dense.weight,16,attn,4096,4096,0.0,0.0,250.8907250620335
gpt_neox.layers.16.attention.query_key_value.weight,16,attn,12288,4096,19.438386917114258,1.0597737677487418,98.4557138299679
gpt_neox.layers.16.mlp.dense_4h_to_h.weight,16,mlp,4096,16384,0.0,0.0,510.5260914113931
gpt_neox.layers.16.mlp.dense_h_to_4h.weight,16,mlp,16384,4096,0.0,0.0,52.73118705691739
gpt_neox.layers.17.attention.dense.weight,17,attn,4096,4096,0.0,0.0,241.80718430366065
gpt_neox.layers.17.attention.query_key_value.weight,17,attn,12288,4096,19.996206283569336,1.0509804019787974,108.2660272881711
gpt_neox.layers.17.mlp.dense_4h_to_h.weight,17,mlp,4096,16384,0.0,0.0,511.89006134350655
gpt_neox.layers.17.mlp.dense_h_to_4h.weight,17,mlp,16384,4096,0.0,0.0,54.37725312822366
gpt_neox.layers.18.attention.dense.weight,18,attn,4096,4096,0.0,0.0,274.27662950695253
gpt_neox.layers.18.attention.query_key_value.weight,18,attn,12288,4096,21.022768020629883,1.0400324776722432,112.65600709964501
gpt_neox.layers.18.mlp.dense_4h_to_h.weight,18,mlp,4096,16384,0.0,0.0,475.934133835408
gpt_neox.layers.18.mlp.dense_h_to_4h.weight,18,mlp,16384,4096,0.0,0.0,55.171798513223465
gpt_neox.layers.19.attention.dense.weight,19,attn,4096,4096,0.0,0.0,338.9682142860691
gpt_neox.layers.19.attention.query_key_value.weight,19,attn,12288,4096,22.649587631225586,1.0109763694078011,99.99129350400398
gpt_neox.layers.19.mlp.dense_4h_to_h.weight,19,mlp,4096,16384,0.0,0.0,473.9309390517775
gpt_neox.layers.19.mlp.dense_h_to_4h.weight,19,mlp,16384,4096,0.0,0.0,55.246034566403324
gpt_neox.layers.2.attention.dense.weight,2,attn,4096,4096,0.0,0.0,258.1528010965703
gpt_neox.layers.2.attention.query_key_value.weight,2,attn,12288,4096,16.33196258544922,1.2417909623471544,82.26484790144966
gpt_neox.layers.2.mlp.dense_4h_to_h.weight,2,mlp,4096,16384,0.0,0.0,49.17114478119308
gpt_neox.layers.2.mlp.dense_h_to_4h.weight,2,mlp,16384,4096,0.0,0.0,31.77776093971011
gpt_neox.layers.20.attention.dense.weight,20,attn,4096,4096,0.0,0.0,234.94230275760063
gpt_neox.layers.20.attention.query_key_value.weight,20,attn,12288,4096,19.566892623901367,1.0437399665212876,107.54071033166477
gpt_neox.layers.20.mlp.dense_4h_to_h.weight,20,mlp,4096,16384,0.0,0.0,487.78501176044074
gpt_neox.layers.20.mlp.dense_h_to_4h.weight,20,mlp,16384,4096,0.0,0.0,54.705705245646755
gpt_neox.layers.21.attention.dense.weight,21,attn,4096,4096,0.0,0.0,234.96258980500082
gpt_neox.layers.21.attention.query_key_value.weight,21,attn,12288,4096,19.017349243164062,1.0505383811723248,114.60308257871421
gpt_neox.layers.21.mlp.dense_4h_to_h.weight,21,mlp,4096,16384,0.0,0.0,480.22848497178074
gpt_neox.layers.21.mlp.dense_h_to_4h.weight,21,mlp,16384,4096,0.0,0.0,55.994549637335346
gpt_neox.layers.22.attention.dense.weight,22,attn,4096,4096,0.0,0.0,251.28898439706236
gpt_neox.layers.22.attention.query_key_value.weight,22,attn,12288,4096,22.935302734375,1.0128582594403728,115.14014234012
